"Name","Latitude","Longitude","PlaceID","Location"
"Hey Chica",-27.4580512,153.0343356,,"315 Brunswick St, Fortitude Valley"
"Iris Rooftop",-27.460107891528168,153.0376115332017,,"458 Brunswick St, Fortitude Valley (Hotel X)"
"The MET",-27.456640732208502,153.03426115705182,,"256 Wickham St, Fortitude Valley"
"The Beat",-27.45793063246091,153.03560735520455,,"677 Ann St, Fortitude Valley"
"Honky Tonks",-27.4575572711764,153.0329437417104,,"204 Wickham St, Fortitude Valley"
"Black Bear Lodge",-27.457859799435706,153.03480690195775,,"322 Brunswick St, Fortitude Valley"
"Su Casa",-27.458709154526048,153.0346049953191,,"648 Ann St, Fortitude Valley"
"The Prince Consort Hotel",-27.45738874040924,153.03335102894562,,"230 Wickham St, Fortitude Valley"
"The Boundary",-27.47886685523192,153.01218326869878,,"137 Boundary St, West End"
"Archive",-27.47907846823554,153.0128110723937,,"100 Boundary St, West End"
"Prohibition",-27.457662652306144,153.03315038403971,,"206 Wickham St, Fortitude Valley"
"Birdees",-27.45921235393263,153.03372895335693,,"608 Ann St, Fortitude Valley"
"Sixes and Sevens",-27.457589891474715,153.0409276417105,,"67 James St, Fortitude Valley"
"Johnny Ringo's",-27.46244508051351,153.03105355520447,,"560 Queen St, Brisbane City"
"Maya Rooftop Bar",-27.456699716070624,153.03680954428708,,"757 Ann St, Fortitude Valley"
"Osbourne Hotel",-27.456279307910112,153.03680442636897,,"766 Ann St, Fortitude Valley"
"Regatta Hotel",-27.482042906162285,152.9965240772931,,"543 Coronation Dr, Toowong"
"Rics Bar",-27.458088631698445,153.03454678219225,,"321 Brunswick St, Fortitude Valley"
"Royal Exchange Hotel",-27.486134038306815,152.99259533986356,,"10 High St, Toowong"
"Sixteen Antlers",-27.468157986134134,153.02350045335706,,"Pullman & Mercure Hotel Cnr Ann &, Level 16 Roma St, Brisbane City QLD 4000"
"Soko",-27.453144325439037,153.03390838219204,,"Level 14/7 Symes St, Fortitude Valley"
"The Tax Office",-27.45687455121761,153.03627645520456,,"740 Ann St, Fortitude Valley"
"Warehouse 25",-27.466313783745807,153.00568411102788,,"25 Finchley St, Milton"
"Riverland Brisbane",-27.465987263802894,153.03045666869835,,"167 Eagle St, Brisbane City"
"Blackbird Brisbane",-27.466874590946883,153.0308816621687,,"Riverside Centre, 123 Eagle St, Brisbane City"
"Friday's Riverside Brisbane",-27.466559686594586,153.03061309562833,,"Riverside Centre, 123 Eagle St, Brisbane City"
"Riverbar & Kitchen Brisbane",-27.467950869775112,153.03105098404,,"71 Eagle St, Brisbane City"
"Bar Pacino Brisbane",-27.465566130722802,153.03069618661738,,"175 Eagle St, Brisbane City"
"Hotel West End",-27.477405823981634,153.01319799753404,,"10 Browning St, South Brisbane"
"The Normanby Hotel",-27.458961791958608,153.01433799263407,,"1 Musgrave Rd, Red Hill"
"The Newmarket Hotel",-27.4367486013932,153.00734075335632,,"135 Enoggera Rd, Newmarket"
"The Sound Garden",-27.457882670667175,153.03456159753378,,"312-318 Brunswick St, Fortitude Valley"
"Eclipse Nightclub",-27.457142529901716,153.0331275840397,,"247 Brunswick St, Fortitude Valley"
"Retros",-27.458027594089888,153.0344644059857,,"32/321 Brunswick St, Fortitude Valley"
"The Triffid",-27.452140130500766,153.04189122894488,,"7/9 Stratton St, Newstead"
"The Tivoli",-27.45195992370142,153.0314822398629,,"52 Costin St, Fortitude Valley"
"Mr Percival's",-27.46251286823492,153.03562977312296,,"5 Boundary St, Brisbane City"
"The Lobby Bar",-27.4556060384175,153.04029620184625,,"48 James St, Fortitude Valley"
"Jubilee Hotel",-27.45355488782191,153.03364441102767,,"470 St Pauls Ter, Fortitude Valley"
"Alfred & Constance",-27.454123036700057,153.034457123317,,"Constance St & Alfred St, Fortitude Valley"
"The Star Brisbane",-27.47371951228148,153.0250356539018,,"33 William St, Brisbane City"
"El Camino Cantina Brisbane",-27.478580115347146,153.02273709568686,,"All Gas Building, 153 Stanley St, South Brisbane"
"Felons Brewing Co",-27.462254682422426,153.03616696412118,,"5 Boundary St, Howard Smith Wharves, Brisbane City"
"The Brightside",-27.456970993458963,153.03502509568597,,"27 Warner St, Fortitude Valley"
"Pawn & Co Brisbane",-27.457888832399675,153.03509856869826,,"680 Ann St, Fortitude Valley"
"Wonderland",-27.458886794263577,153.03485783986315,,"633 Ann St, Fortitude Valley"
"Enigma",-27.457926693103733,153.03408391287502,,"299 Brunswick St, Fortitude Valley"
"Greaser",-27.45721597058728,153.03346297054594,,"259 Brunswick St, Fortitude Valley (Underground)"
"QA Hotel",-27.457586258573517,153.04130065327922,,"64 James St, New Farm"
"The Magee",-27.459956444853614,153.03727265429444,,"65 Annerley Rd, Woolloongabba"
"Indooroopilly Hotel",-27.50232862917215,152.97559850196308,,"Moggill Rd, Indooroopilly"
"The Paddo",-27.462084837156425,153.0069138895823,,"Paddington"
"Lefty's Music Hall",-27.46439680955251,153.01304713079372,,"15 Caxton St, Petrie Terrace QLD 4000"
"The Caxton Hotel",-27.463904282134195,153.012129126369,,"38 Caxton St, Petrie Terrace QLD 4000"
"Death and Taxes Brisbane",-27.469752078555743,153.023884315453,,"36 Burnett Ln, Brisbane City QLD 4000"
"Cloudland",-27.4567,153.0341,,"641 Ann St, Fortitude Valley"
"RG's",-27.4685,153.0281,,"348 Edward St, Brisbane City"
"The Wickham",-27.4612,153.0365,,"308 Wickham St, Fortitude Valley"
"Summer House",-27.4738,153.0251,,"South Bank Parklands, Brisbane"
"Empire Hotel",-27.4598,153.0352,,"339 Brunswick St, Fortitude Valley"
"Pig 'N' Whistle Indooroopilly",-27.4988,152.9738,,"Indooroopilly Shopping Centre, 322 Moggill Rd, Indooroopilly QLD 4068"
"Pig 'N' Whistle Riverside",-27.4675,153.0301,,"Riverside Centre, 123 Eagle St, Brisbane City QLD 4000"
"Pig 'N' Whistle West End",-27.4833,153.0167,,"Merivale St, South Brisbane QLD 4101"
"Netherworld",-27.458,153.0343,,"186 Brunswick St, Fortitude Valley QLD 4006"
"Darling & Co.",-27.4597,152.9998,,"157 Given Terrace, Paddington QLD 4064"
